,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Manchester City,David Silva,ESP,MF,31,1986,27.0,9,54,20,37.0,2.0,0.74,0.17,0.45,15.9,2,0,0,7.2,7.2,0.13,1.8,1.8
ENG-Premier League,1718,Manchester City,Ederson,BRA,GK,23,1993,35.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester City,Eliaquim Mangala,FRA,DF,26,1991,5.4,0,1,0,0.0,0.18,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.14,-0.1,-0.1
ENG-Premier League,1718,Manchester City,Fabian Delph,ENG,DF,27,1989,19.3,1,10,3,30.0,0.52,0.16,0.1,0.33,28.9,0,0,0,0.3,0.3,0.03,0.7,0.7
ENG-Premier League,1718,Manchester City,Fernandinho,BRA,MF,32,1985,32.0,5,47,19,40.4,1.47,0.59,0.11,0.26,23.1,0,0,0,2.1,2.1,0.04,2.9,2.9
ENG-Premier League,1718,Manchester City,Gabriel Jesus,BRA,FW,20,1997,18.5,13,54,30,55.6,2.91,1.62,0.24,0.43,12.0,0,0,2,13.8,12.2,0.23,-0.8,0.8
ENG-Premier League,1718,Manchester City,John Stones,ENG,DF,23,1994,14.5,0,11,4,36.4,0.76,0.28,0.0,0.0,12.0,0,0,0,0.8,0.8,0.07,-0.8,-0.8
ENG-Premier League,1718,Manchester City,Kevin De Bruyne,BEL,MF,26,1991,34.1,8,93,39,41.9,2.72,1.14,0.09,0.21,24.3,15,0,0,5.1,5.1,0.06,2.9,2.9
ENG-Premier League,1718,Manchester City,Kyle Walker,ENG,DF,27,1990,30.9,0,13,1,7.7,0.42,0.03,0.0,0.0,24.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6
ENG-Premier League,1718,Manchester City,Leroy Sané,GER,FW,21,1996,26.9,10,57,19,33.3,2.12,0.71,0.18,0.53,17.0,6,0,0,5.8,5.8,0.1,4.2,4.2
ENG-Premier League,1718,Manchester City,Lukas Nmecha,GER,FW,18,1998,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester City,Nicolás Otamendi,ARG,DF,29,1988,33.0,4,32,10,31.3,0.97,0.3,0.13,0.4,16.2,0,0,0,2.7,2.7,0.09,1.3,1.3
ENG-Premier League,1718,Manchester City,Oleksandr Zinchenko,UKR,DF,20,1996,5.9,0,5,2,40.0,0.85,0.34,0.0,0.0,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,1718,Manchester City,Phil Foden,ENG,"MF,FW",17,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester City,Raheem Sterling,ENG,FW,22,1994,28.7,18,86,33,38.4,2.99,1.15,0.2,0.52,14.9,0,1,1,16.2,15.3,0.18,1.8,1.7
ENG-Premier League,1718,Manchester City,Sergio Agüero,ARG,FW,29,1988,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.9,1,4,4,16.2,13.1,0.15,4.8,3.9
ENG-Premier League,1718,Manchester City,Vincent Kompany,BEL,DF,31,1986,15.5,1,9,2,22.2,0.58,0.13,0.11,0.5,9.8,0,0,0,0.8,0.8,0.09,0.2,0.2
ENG-Premier League,1718,Manchester City,Yaya Touré,CIV,MF,34,1983,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,23.5,3,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,1718,Manchester City,İlkay Gündoğan,GER,MF,26,1990,16.9,4,34,10,29.4,2.02,0.59,0.09,0.3,19.6,1,1,1,3.0,2.3,0.07,1.0,0.7
ENG-Premier League,1718,Manchester Utd,Alexis Sánchez,CHI,"FW,MF",28,1988,11.6,2,18,6,33.3,1.55,0.52,0.11,0.33,16.8,0,0,1,2.7,1.8,0.1,-0.7,0.2
ENG-Premier League,1718,Manchester Utd,Ander Herrera,ESP,MF,27,1989,14.1,0,12,1,8.3,0.85,0.07,0.0,0.0,25.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,1718,Manchester Utd,Anthony Martial,FRA,FW,21,1995,17.6,9,48,15,31.3,2.73,0.85,0.17,0.53,17.3,0,1,1,6.3,5.5,0.12,2.7,2.5
